"Part";"Value";"Device";"Package";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"CENTROID_NOT_SPECIFIED";"DATASHEET";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_0";"HEIGHT";"IPC_LAND_PATTERN_NAME";"LEAD_FREE";"MAX_SUPPLY_VOLTAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_SUPPLY_VOLTAGE";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"NUMBER_OF_CHANNELS";"NUMBER_OF_OUTPUTS";"OC_FARNELL";"OC_NEWARK";"OUTPUT_CURRENT";"OUTPUT_VOLTAGE";"PACKAGE";"PIN_0_0_3_INSIDE_EDGE";"PIN_0_0_4_INSIDE_EDGE";"PREFIX";"PROD_ID";"ROHS";"STANDOFF_HEIGHT";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VALUE";"VERIFICATION_VERSION";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"";"4.7k";"";
"U$1";"EZO-EC";"EZO-EC";"EZO-EC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"EZO-FLOW";"EZO-FLOW";"EZO-FLOW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"EZO-PH";"EZO-PH";"EZO-PH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FARNELL";"";"";"";"";"";"";"1733570";"";"";"3041244";"69C8588";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FARNELL";"";"";"";"";"";"";"1733570";"";"";"3041244";"69C8588";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X3";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FARNELL";"";"";"";"";"";"";"1733570";"";"";"3041244";"69C8588";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X4";"SMKDSP_1,5/5";"SMKDSP_1,5/5";"SMKDSP_1,5/5";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X5";"SMKDSP_1,5/5";"SMKDSP_1,5/5";"SMKDSP_1,5/5";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X6";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FARNELL";"";"";"";"";"";"";"1733570";"";"";"3041244";"69C8588";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X7";"SMKDSP_1,5/3";"SMKDSP_1,5/3";"SMKDSP_1,5/3";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FARNELL";"";"";"";"";"";"";"1733583";"";"";"3041256";"71C4130";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X8";"";"SMACONNECTOR";"SMA90_DIP";"SMA Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X9";"";"SMACONNECTOR";"SMA90_DIP";"SMA Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X10";"SMKDSP_1,5/3";"SMKDSP_1,5/3";"SMKDSP_1,5/3";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FARNELL";"";"";"";"";"";"";"1733583";"";"";"3041256";"71C4130";"";"";"";"";"";"";"";"";"";"";"";"";"";
