"Part";"Value";"Device";"Package";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"CENTROID_NOT_SPECIFIED";"DATASHEET";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_0";"HEIGHT";"IPC_LAND_PATTERN_NAME";"LEAD_FREE";"MAX_SUPPLY_VOLTAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_SUPPLY_VOLTAGE";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"NUMBER_OF_CHANNELS";"NUMBER_OF_OUTPUTS";"OC_FARNELL";"OC_NEWARK";"OUTPUT_CURRENT";"OUTPUT_VOLTAGE";"PACKAGE";"PIN_0_0_3_INSIDE_EDGE";"PIN_0_0_4_INSIDE_EDGE";"PREFIX";"PROD_ID";"ROHS";"STANDOFF_HEIGHT";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VALUE";"VERIFICATION_VERSION";
"ISOLATOR1:U1";"ANALOG_DEVICES_INC_ADM3260ARSZANALOG_DEVICES_INC_ADM3260ARSZ_0_0";"ANALOG_DEVICES_INC_ADM3260ARSZANALOG_DEVICES_INC_ADM3260ARSZ_0_0";"ANALOG_DEVICES_INC_ADM3260ARSZ_0";"Digital Isolator, 2 Channel, 3 V, 5.5 V, SSOP, 20 Pins";"+105°C";"-40°C";"No";"http://www.analog.com/media/en/technical-documentation/data-sheets/ADM3260.pdf";"Integrated Circuits (ICs)";"Power Management ICs";"Hot Swap Controllers";"IC DGTL ISO 2.5KV 2CH I2C 20SSOP";"ADM3260ARSZ-ND";"{"fp_type":"SSOP","params":{"N":{"nom":20,"long name":"Number of leads","min":null,"max":null,"short name":"N","type":"count"},"A":{"nom":false,"long name":"Height","min":false,"max":2000000,"short name":"A","type":"measurement"},"A1":{"nom":false,"long name":"Package clearance","min":50000,"max":false,"short name":"A1","type":"measurement"},"A2":{"nom":1750000,"long name":"Package height","min":1650000,"max":1850000,"short name":"A2","type":"measurement"},"E":{"nom":7800000,"long name":"Width /w leads","min":7400000,"max":8200000,"short name":"E","type":"measurement"},"E1":{"nom":5300000,"long name":"Package width","min":5000000,"max":5600000,"short name":"E1","type":"measurement"},"D":{"nom":7200000,"long name":"Package length","min":6900000,"max":7500000,"short name":"D","type":"measurement"},"B":{"nom":false,"long name":"Lead width","min":220000,"max":380000,"short name":"B","type":"measurement"},"C":{"nom":false,"long name":"Lead thickness","min":90000,"max":250000,"short name":"C","type":"measurement"},"L":{"nom":750000,"long name":"Lead foot length","min":550000,"max":950000,"short name":"L","type":"measurement"},"e":{"nom":650000,"long name":"Lead pitch","min":null,"max":null,"short name":"e","type":"measurement"},"PHI":{"nom":false,"long name":"Lead angle","min":0,"max":8,"short name":"PHI","type":"measurement"},"HT":{"default":"No","long name":"Thermal pad","type":"multichoiceparent","short name":"HT","children":[]},"offset x":{"nom":0,"long name":"X Center offset","min":null,"max":null,"short name":"offset x","type":"measurement"},"offset y":{"nom":0,"long name":"Y Center offset","min":null,"max":null,"short name":"offset y","type":"measurement"},"LS":{"default":"Rounded rectangle","long name":"Land shape","type":"multichoice","short name":"LS"},"LS1":{"default":"Rectangle","long name":"Land shape (Pin 1)","type":"multichoice","short name":"LS1"},"solder toe":{"nom":150000,"long name":"Solder fillet (toe)","min":null,"max":null,"short name":"solder toe","type":"fixedmeasurement"},"solder heel":{"nom":250000,"long name":"Solder fillet (heel)","min":null,"max":null,"short name":"solder heel","type":"fixedmeasurement"},"solder side":{"nom":10000,"long name":"Solder fillet (side)","min":null,"max":null,"short name":"solder side","type":"fixedmeasurement"},"courtyard":{"nom":100000,"long name":"Courtyard","min":null,"max":null,"short name":"courtyard","type":"fixedmeasurement"},"SF":{"default":"C","long name":"Packing level","type":"multichoiceparent","short name":"SF","help":"http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level","children":["solder toe","solder heel","solder side","courtyard"]}}}";"2mm";"SOP65P780X200-20";"yes";"5.5V";"Analog Devices Inc";"RS-20";"0";"A";"3V";"Digital Isolators Iso, Dual I2C w/DC to DC conv";"584-ADM3260ARSZ";"ADM3260ARSZ";"2";"2";"";"";"30mA";"3-5.5V";"SSOP20";"clock";"clock";"U";"";"yes";"0.05mm";"+105°C";"-40°C";"";"0.0.0.1";
"ISOLATOR2:C1";"10uF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09128";"";"";"";"";"22pF";"";
"ISOLATOR2:C2";"10uF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09128";"";"";"";"";"22pF";"";
"ISOLATOR2:C3";"10uF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09128";"";"";"";"";"22pF";"";
"ISOLATOR2:C4";"10uF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09128";"";"";"";"";"22pF";"";
"ISOLATOR2:C5";"10uF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09128";"";"";"";"";"22pF";"";
"ISOLATOR2:C6";"10uF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09128";"";"";"";"";"22pF";"";
"ISOLATOR2:Q1";"";"MOSFET-NGDS_TO220V";"TO220V";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ISOLATOR2:R1";"4.7k";"1MOHM-HORIZ-1/4W-5%";"AXIAL-0.3";"1MΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09329";"";"";"";"";"1M";"";
"ISOLATOR2:R2";"4.7k\";"1MOHM-HORIZ-1/4W-5%";"AXIAL-0.3";"1MΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09329";"";"";"";"";"1M";"";
